Empleado1,Empleado2,similarity
Empleado3576,Empleado9500,0.9803921568627451
Empleado4036,Empleado3819,0.9803921568627451
Empleado6781,Empleado10181,0.9803921568627451
Trabajador2763,Empleado5230,0.9803921568627451
Trabajador810,Empleado8508,0.9803921568627451
Empleado10133,Empleado174,0.9900990099009901
Empleado10171,Empleado4433,0.9900990099009901
Empleado10226,Empleado3130,0.9900990099009901
Empleado10314,Trabajador1462,0.9900990099009901
Empleado10407,Empleado7100,0.9900990099009901
Empleado10465,Empleado3875,0.9900990099009901
Empleado1063,Empleado6078,0.9900990099009901
Empleado107,Empleado6486,0.9900990099009901
Empleado1398,Trabajador2667,0.9900990099009901
Empleado198,Empleado4025,0.9900990099009901
Empleado2014,Trabajador63,0.9900990099009901
Empleado2040,Empleado4202,0.9900990099009901
Empleado2088,Trabajador1983,0.9900990099009901
Empleado2148,Empleado2184,0.9900990099009901
Empleado2157,Empleado198,0.9900990099009901
Empleado2184,Empleado2148,0.9900990099009901
Empleado2190,Trabajador2834,0.9900990099009901
Empleado2266,Trabajador539,0.9900990099009901
Empleado2290,Empleado2050,0.9900990099009901
Empleado2395,Empleado9483,0.9900990099009901
Empleado2407,Trabajador1590,0.9900990099009901
Empleado2498,Trabajador601,0.9900990099009901
Empleado2701,Empleado5404,0.9900990099009901
Empleado2742,Trabajador2471,0.9900990099009901
Empleado2757,Trabajador3949,0.9900990099009901
Empleado2793,Trabajador3374,0.9900990099009901
Empleado2859,Empleado5065,0.9900990099009901
Empleado2893,Empleado3819,0.9900990099009901
Empleado2918,Empleado736,0.9900990099009901
Empleado2974,Empleado8768,0.9900990099009901
Empleado3037,Empleado2859,0.9900990099009901
Empleado3040,Empleado827,0.9900990099009901
Empleado3089,Empleado5758,0.9900990099009901
Empleado3116,Empleado8808,0.9900990099009901
Empleado3130,Trabajador1811,0.9900990099009901
Empleado3132,Empleado1483,0.9900990099009901
Empleado3135,Trabajador1888,0.9900990099009901
Empleado3155,Empleado2185,0.9900990099009901
Empleado3166,Empleado6889,0.9900990099009901
Empleado3437,Empleado9635,0.9900990099009901
