Empleado1,Empleado2,similarity
Empleado10159,Empleado14207,1.0
Empleado1016,Empleado14264,1.0
Empleado10160,Empleado12170,1.0
Empleado10161,Empleado5288,1.0
Empleado10162,Empleado13274,1.0
Empleado10163,Empleado4478,1.0
Empleado10164,Empleado2981,1.0
Empleado10165,Empleado8221,1.0
Empleado10166,Empleado9845,1.0
Empleado10167,Empleado13479,1.0
Empleado10168,Empleado11721,1.0
Empleado10169,Empleado12786,1.0
Empleado1017,Empleado1150,1.0
Empleado10170,Empleado4284,1.0
Empleado10172,Empleado3306,1.0
Empleado10173,Empleado11424,1.0
Empleado10174,Empleado9873,1.0
Empleado10175,Empleado4416,1.0
Empleado10176,Empleado4136,1.0
Empleado10177,Empleado13252,1.0
Empleado10178,Empleado11293,1.0
Empleado10179,Empleado13685,1.0
Empleado1018,Empleado12226,1.0
Empleado10180,Empleado13030,1.0
Empleado10181,Empleado8810,1.0
Empleado10182,Empleado7762,1.0
Empleado10183,Empleado11173,1.0
Empleado10184,Empleado2307,1.0
Empleado10185,Empleado6563,1.0
Empleado10186,Empleado8915,1.0
Empleado10187,Empleado9733,1.0
Empleado10188,Empleado12995,1.0
Empleado10189,Empleado8094,1.0
Empleado1019,Empleado2073,1.0
Empleado10190,Empleado4948,1.0
Empleado10191,Empleado6070,1.0
Empleado10192,Empleado8686,1.0
Empleado10193,Empleado9350,1.0
Empleado10194,Empleado3905,1.0
Empleado10195,Empleado10190,1.0
Empleado10196,Empleado11609,1.0
Empleado10197,Empleado13091,1.0
Empleado10198,Empleado6098,1.0
Empleado10199,Empleado9894,1.0
Empleado102,Empleado1781,1.0
Empleado1020,Empleado6444,1.0
Empleado10200,Empleado4467,1.0
Empleado10201,Empleado11482,1.0
Empleado10202,Empleado7250,1.0
Empleado10203,Empleado12730,1.0
Empleado10204,Empleado11407,1.0
Empleado10205,Empleado10797,1.0
Empleado10206,Empleado8437,1.0
Empleado10207,Empleado10028,1.0
Empleado10208,Empleado11381,1.0
Empleado10209,Empleado11816,1.0
Empleado1021,Empleado5587,1.0
Empleado10210,Empleado4413,1.0
Empleado10211,Empleado13629,1.0
Empleado10212,Empleado14669,1.0
Empleado10213,Empleado7765,1.0
